season,round,circuit_id,driver,nationality,constructor,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
2014,5,catalunya,alonso,Spanish,ferrari,7,Finished,8.0,6,1,0,0,0,41.0,0.0,3.0,52.0,0.0,4.0,32
2014,5,catalunya,raikkonen,Finnish,ferrari,6,Finished,6.0,7,1,0,0,0,11.0,0.0,12.0,52.0,0.0,4.0,34
2014,5,catalunya,grosjean,French,alpine,5,Finished,4.0,8,1,0,0,0,0.0,0.0,15.0,0.0,0.0,8.0,28
2014,5,catalunya,perez,Mexican,aston_martin,11,Finished,2.0,9,1,0,0,0,18.0,0.0,10.0,54.0,0.0,3.0,24
2014,5,catalunya,hulkenberg,German,aston_martin,10,Finished,1.0,10,1,0,0,0,36.0,0.0,4.0,54.0,0.0,3.0,26
2014,5,catalunya,button,British,mclaren,8,Finished,0.0,11,1,0,0,0,23.0,0.0,8.0,43.0,0.0,5.0,34
2014,5,catalunya,kevin_magnussen,Danish,mclaren,14,Finished,0.0,12,1,0,0,0,20.0,0.0,9.0,43.0,0.0,5.0,21
2014,5,catalunya,massa,Brazilian,williams,9,Finished,0.0,13,1,0,0,0,12.0,0.0,11.0,36.0,0.0,6.0,33
2014,5,catalunya,kvyat,Russian,alphatauri,12,Finished,0.0,14,1,0,0,0,4.0,0.0,14.0,8.0,0.0,7.0,20
2014,5,catalunya,maldonado,Venezuelan,alpine,22,Finished,0.0,15,1,0,0,0,0.0,0.0,20.0,0.0,0.0,8.0,29
2014,5,catalunya,gutierrez,Mexican,alfa,13,Finished,0.0,16,1,0,0,0,0.0,0.0,17.0,0.0,0.0,9.0,22
2014,5,catalunya,sutil,German,alfa,16,Finished,0.0,17,1,0,0,0,0.0,0.0,16.0,0.0,0.0,9.0,31
2014,5,catalunya,jules_bianchi,French,manor,18,Finished,0.0,18,1,0,0,0,0.0,0.0,22.0,0.0,0.0,10.0,24
2014,5,catalunya,chilton,British,manor,17,Finished,0.0,19,1,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,23
2014,5,catalunya,ericsson,Swedish,caterham,19,Finished,0.0,20,1,0,0,0,0.0,0.0,21.0,0.0,0.0,11.0,23
2014,5,catalunya,kobayashi,Japanese,caterham,20,Mechanical Issue,0.0,21,1,0,0,0,0.0,0.0,19.0,0.0,0.0,11.0,27
2014,5,catalunya,vergne,French,alphatauri,21,Mechanical Issue,0.0,22,1,0,0,0,4.0,0.0,13.0,8.0,0.0,7.0,24
2014,6,monaco,rosberg,German,mercedes,1,Finished,25.0,1,0,0,0,0,97.0,1.0,2.0,197.0,5.0,1.0,28
2014,6,monaco,hamilton,British,mercedes,2,Finished,18.0,2,0,0,0,0,100.0,4.0,1.0,197.0,5.0,1.0,29
2014,6,monaco,ricciardo,Australian,red_bull,3,Finished,15.0,3,0,0,0,0,39.0,0.0,5.0,84.0,0.0,2.0,24
2014,6,monaco,alonso,Spanish,ferrari,5,Finished,12.0,4,0,0,0,0,49.0,0.0,3.0,66.0,0.0,3.0,32
2014,6,monaco,hulkenberg,German,aston_martin,11,Finished,10.0,5,0,0,0,0,37.0,0.0,6.0,57.0,0.0,4.0,26
2014,6,monaco,button,British,mclaren,12,Finished,8.0,6,0,0,0,0,23.0,0.0,8.0,43.0,0.0,6.0,34
2014,6,monaco,massa,Brazilian,williams,16,Finished,6.0,7,0,0,0,0,12.0,0.0,12.0,46.0,0.0,5.0,33
2014,6,monaco,grosjean,French,alpine,14,Finished,4.0,8,0,0,0,0,4.0,0.0,13.0,4.0,0.0,8.0,28
2014,6,monaco,jules_bianchi,French,manor,21,Finished,2.0,9,0,0,0,0,0.0,0.0,22.0,0.0,0.0,10.0,24
2014,6,monaco,kevin_magnussen,Danish,mclaren,8,Finished,1.0,10,0,0,0,0,20.0,0.0,9.0,43.0,0.0,6.0,21
2014,6,monaco,ericsson,Swedish,caterham,22,Finished,0.0,11,0,0,0,0,0.0,0.0,21.0,0.0,0.0,11.0,23
2014,6,monaco,raikkonen,Finnish,ferrari,6,Finished,0.0,12,0,0,0,0,17.0,0.0,11.0,66.0,0.0,3.0,34
2014,6,monaco,kobayashi,Japanese,caterham,20,Finished,0.0,13,0,0,0,0,0.0,0.0,19.0,0.0,0.0,11.0,27
2014,6,monaco,chilton,British,manor,19,Finished,0.0,14,0,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,23
2014,6,monaco,gutierrez,Mexican,alfa,17,Incident,0.0,15,0,0,0,0,0.0,0.0,17.0,0.0,0.0,9.0,22
2014,6,monaco,bottas,Finnish,williams,13,Mechanical Issue,0.0,16,0,0,0,0,34.0,0.0,7.0,46.0,0.0,5.0,24
2014,6,monaco,vergne,French,alphatauri,7,Mechanical Issue,0.0,17,0,0,0,0,4.0,0.0,14.0,8.0,0.0,7.0,24
2014,6,monaco,sutil,German,alfa,18,Incident,0.0,18,0,0,0,0,0.0,0.0,16.0,0.0,0.0,9.0,31
2014,6,monaco,kvyat,Russian,alphatauri,9,Mechanical Issue,0.0,19,0,0,0,0,4.0,0.0,15.0,8.0,0.0,7.0,20
2014,6,monaco,vettel,German,red_bull,4,Mechanical Issue,0.0,20,0,0,0,0,45.0,0.0,4.0,84.0,0.0,2.0,26
