,Unnamed: 0,season,round,driver,driver_points,driver_wins,driver_standings_pos
451,24142,2015,2,bottas,0.0,0.0,18.0
452,24143,2015,2,ricciardo,8.0,0.0,6.0
453,24144,2015,2,hulkenberg,6.0,0.0,7.0
454,24145,2015,2,max_verstappen,0.0,0.0,13.0
455,24146,2015,2,sainz,2.0,0.0,9.0
456,24147,2015,2,ericsson,4.0,0.0,8.0
457,24148,2015,2,kvyat,0.0,0.0,16.0
458,24149,2015,2,perez,1.0,0.0,10.0
459,24150,2015,2,grosjean,0.0,0.0,14.0
460,24151,2015,2,button,0.0,0.0,11.0
461,24152,2015,2,merhi,0.0,0.0,0.0
462,24153,2015,2,maldonado,0.0,0.0,15.0
463,24154,2015,2,kevin_magnussen,0.0,0.0,17.0
464,24155,2015,2,alonso,0.0,0.0,0.0
465,24156,2015,2,stevens,0.0,0.0,0.0
466,24157,2015,3,hamilton,43.0,1.0,1.0
467,24158,2015,3,vettel,40.0,1.0,2.0
468,24159,2015,3,rosberg,33.0,0.0,3.0
469,24160,2015,3,massa,20.0,0.0,4.0
470,24161,2015,3,raikkonen,12.0,0.0,5.0
471,24162,2015,3,bottas,10.0,0.0,7.0
472,24163,2015,3,nasr,10.0,0.0,6.0
473,24164,2015,3,ricciardo,9.0,0.0,8.0
474,24165,2015,3,grosjean,0.0,0.0,15.0
475,24166,2015,3,hulkenberg,6.0,0.0,9.0
476,24167,2015,3,max_verstappen,6.0,0.0,10.0
477,24168,2015,3,sainz,6.0,0.0,11.0
478,24169,2015,3,ericsson,4.0,0.0,12.0
479,24170,2015,3,kvyat,2.0,0.0,13.0
480,24171,2015,3,perez,1.0,0.0,14.0
481,24172,2015,3,button,0.0,0.0,16.0
482,24173,2015,3,alonso,0.0,0.0,20.0
483,24174,2015,3,merhi,0.0,0.0,17.0
484,24175,2015,3,stevens,0.0,0.0,21.0
485,24176,2015,3,maldonado,0.0,0.0,18.0
486,24177,2015,3,kevin_magnussen,0.0,0.0,19.0
487,24178,2015,4,hamilton,68.0,2.0,1.0
488,24179,2015,4,rosberg,51.0,0.0,3.0
489,24180,2015,4,vettel,55.0,1.0,2.0
490,24181,2015,4,raikkonen,24.0,0.0,5.0
491,24182,2015,4,massa,30.0,0.0,4.0
492,24183,2015,4,bottas,18.0,0.0,6.0
493,24184,2015,4,ricciardo,11.0,0.0,8.0
494,24185,2015,4,nasr,14.0,0.0,7.0
495,24186,2015,4,grosjean,6.0,0.0,9.0
496,24187,2015,4,hulkenberg,6.0,0.0,10.0
497,24188,2015,4,max_verstappen,6.0,0.0,11.0
498,24189,2015,4,sainz,6.0,0.0,12.0
499,24190,2015,4,perez,1.0,0.0,15.0
500,24191,2015,4,ericsson,5.0,0.0,13.0
501,24192,2015,4,kvyat,2.0,0.0,14.0
502,24193,2015,4,alonso,0.0,0.0,17.0
503,24194,2015,4,button,0.0,0.0,16.0
504,24195,2015,4,merhi,0.0,0.0,18.0
505,24196,2015,4,stevens,0.0,0.0,19.0
506,24197,2015,4,maldonado,0.0,0.0,20.0
507,24198,2015,4,kevin_magnussen,0.0,0.0,21.0
508,24199,2015,5,hamilton,93.0,3.0,1.0
509,24200,2015,5,rosberg,66.0,0.0,2.0
510,24201,2015,5,vettel,65.0,1.0,3.0
511,24202,2015,5,raikkonen,42.0,0.0,4.0
512,24203,2015,5,bottas,30.0,0.0,6.0
