,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
548,1963,5,tomaso,0.0,0.0,12.0
549,1963,6,lotus-climax,37.0,4.0,1.0
550,1963,6,brm,18.0,1.0,2.0
551,1963,6,ferrari,13.0,0.0,5.0
552,1963,6,cooper-climax,16.0,0.0,3.0
553,1963,6,brabham,13.0,0.0,4.0
554,1963,6,porsche,1.0,0.0,8.0
555,1963,6,lotus-brm,2.0,0.0,7.0
556,1963,6,brp,3.0,0.0,6.0
557,1963,6,lola,0.0,0.0,9.0
558,1963,6,scirocco,0.0,0.0,10.0
559,1963,6,ats,0.0,0.0,11.0
560,1963,6,gilby,0.0,0.0,12.0
561,1963,6,tomaso,0.0,0.0,13.0
562,1963,6,lotus-borgward,0.0,0.0,0.0
563,1963,7,lotus-climax,43.0,4.0,1.0
564,1963,7,brm,22.0,1.0,2.0
565,1963,7,ferrari,22.0,1.0,3.0
566,1963,7,cooper-climax,17.0,0.0,4.0
567,1963,7,brabham,13.0,0.0,5.0
568,1963,7,brp,3.0,0.0,8.0
569,1963,7,porsche,4.0,0.0,6.0
